custid,총구매액,구매건수,평균구매가격,구매브랜드종류,내점일수,주말방문비율,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,점심_구매건수,주구매코너별여성비율등급,gender,pred_prob
102877,20666652,155,133333,75,67,28.4,39.0,32.0,40.0,44.0,22.0,92.0,1,1,0.9923086
104981,23884758,62,385238,45,24,37.5,16.0,9.0,15.0,22.0,12.0,37.0,5,1,0.98990405
103745,29570594,73,405077,42,39,33.3,27.0,10.0,14.0,22.0,9.0,57.0,2,1,0.98717785
101907,25057290,181,138438,57,68,35.3,35.0,50.0,43.0,53.0,32.0,131.0,1,1,0.98533326
104684,20346913,167,121838,75,79,29.1,31.0,46.0,40.0,50.0,31.0,101.0,1,1,0.9836558
103743,14516792,142,102231,47,80,30.0,27.0,28.0,50.0,37.0,27.0,102.0,1,1,0.98360574
102398,35195558,146,241065,69,57,33.3,32.0,36.0,43.0,35.0,19.0,99.0,1,1,0.9834199
102233,14402515,89,161826,50,47,31.9,22.0,21.0,18.0,28.0,16.0,69.0,1,1,0.983368
101315,19180653,112,171256,58,57,36.8,28.0,33.0,22.0,29.0,10.0,95.0,1,1,0.9805668
100363,16410869,95,172746,54,35,34.3,24.0,29.0,13.0,29.0,8.0,59.0,5,1,0.9804993
104212,18162410,133,136559,61,60,31.7,26.0,12.0,39.0,56.0,74.0,59.0,1,1,0.979879
103162,62194393,167,372422,72,73,27.4,35.0,44.0,40.0,48.0,60.0,99.0,2,1,0.9794623
104280,23194903,197,117741,68,71,33.8,46.0,40.0,71.0,40.0,66.0,106.0,1,1,0.9786758
103924,9613800,31,310123,17,16,43.8,11.0,6.0,9.0,5.0,15.0,16.0,1,1,0.97855455
100932,24837849,194,128030,69,61,34.4,31.0,27.0,27.0,109.0,27.0,158.0,5,1,0.97783613
103615,28005038,183,153033,103,68,33.8,32.0,41.0,67.0,43.0,14.0,80.0,1,1,0.9750583
101150,15666100,114,137422,60,46,34.8,24.0,25.0,29.0,36.0,16.0,77.0,3,1,0.9732431
102677,15320007,110,139273,39,67,32.8,25.0,24.0,27.0,34.0,16.0,74.0,1,1,0.9713587
104195,9635232,72,133823,38,35,40.0,8.0,20.0,14.0,30.0,25.0,39.0,5,1,0.9693084
104380,16989184,137,124009,62,36,41.7,35.0,30.0,40.0,32.0,13.0,96.0,5,1,0.9659146
102330,8217372,66,124506,37,35,37.1,12.0,18.0,17.0,19.0,27.0,32.0,5,1,0.965897
103848,18452284,213,86630,52,125,32.8,54.0,47.0,67.0,45.0,81.0,122.0,1,1,0.96559626
103323,19183980,104,184461,57,46,37.0,40.0,20.0,36.0,8.0,16.0,72.0,1,1,0.96497095
100173,23632393,191,123730,55,78,29.5,45.0,41.0,39.0,66.0,12.0,160.0,1,1,0.9640818
103737,6923962,144,48083,33,69,30.4,17.0,45.0,46.0,36.0,28.0,95.0,1,1,0.962977
104512,17049729,103,165531,53,44,34.1,15.0,20.0,42.0,26.0,55.0,46.0,1,1,0.96165764
103675,52665029,416,126599,147,183,31.7,103.0,117.0,104.0,92.0,46.0,143.0,1,1,0.9615167
101602,15830582,105,150767,59,52,32.7,39.0,18.0,25.0,23.0,14.0,76.0,2,1,0.96081406
102924,11896629,99,120168,42,53,30.2,20.0,22.0,19.0,38.0,12.0,59.0,1,1,0.9608114
